"work_year","job_title","company_size","employment_type","avg_salary_EN","avg_salary_MI","avg_salary_SE","avg_salary_EX"
2023,"AI Developer","S","FT",120000,140000,53984,NA
2023,"AI Engineer","L","FT",21593,32811,NA,NA
2023,"AI Engineer","M","FT",35000,179172.727272727,172245.935483871,NA
2023,"AI Engineer","L","CT",NA,50000,NA,NA
2023,"AI Engineer","S","FT",NA,140000,NA,NA
2023,"AI Product Manager","L","FT",NA,NA,120000,NA
2023,"AI Programmer","L","FT",72043.5,NA,NA,NA
2023,"AI Programmer","S","FT",50103.5,NA,NA,NA
2023,"AI Programmer","M","FT",NA,NA,120000,NA
2023,"AI Research Engineer","L","FT",24322,NA,NA,NA
2023,"AI Research Engineer","M","FT",24940,115603,NA,NA
2023,"AI Research Engineer","S","FT",30663,NA,NA,NA
2023,"AI Scientist","S","FT",20000,54000,1e+05,NA
2023,"AI Scientist","L","FT",NA,60353,241359,NA
2023,"AI Scientist","M","FT",NA,120000,185500,NA
2023,"AWS Data Architect","L","FT",NA,258000,NA,NA
2023,"Admin & Data Analyst","M","FT",50000,NA,NA,NA
2023,"Analytics Engineer","L","FT",43000,NA,2e+05,NA
2023,"Analytics Engineer","M","FT",97444.6,158473.911764706,165565.67816092,200666.666666667
2023,"Analytics Engineer","S","FT",NA,NA,50000,NA
2023,"Analytics Engineering Manager","L","FT",NA,NA,399880,NA
2023,"Applied Data Scientist","L","FT",29691,20673,64781,NA
2023,"Applied Data Scientist","S","FT",NA,80000,NA,NA
2023,"Applied Data Scientist","M","FT",NA,NA,67635,NA
2023,"Applied Machine Learning Engineer","M","FT",NA,130000,NA,225000
2023,"Applied Machine Learning Engineer","S","FT",NA,70179,NA,NA
2023,"Applied Machine Learning Scientist","L","FT",48644,NA,90000,NA
2023,"Applied Machine Learning Scientist","M","FT",43187,NA,NA,NA
2023,"Applied Scientist","L","FT",167356.666666667,176648.484848485,192566.923076923,NA
2023,"Applied Scientist","M","FT",211400,163498.888888889,194221.47,NA
2023,"Autonomous Vehicle Technician","M","FT",NA,120000,NA,NA
2023,"Azure Data Engineer","L","FT",NA,NA,1e+05,NA
2023,"BI Analyst","M","FT",NA,134733.333333333,135937,NA
2023,"BI Analyst","L","FT",NA,NA,18381,NA
2023,"BI Data Analyst","M","FT",56666.6666666667,70000,72338,NA
2023,"BI Data Analyst","S","FT",50000,NA,NA,NA
2023,"BI Data Engineer","M","FT",60000,NA,NA,NA
2023,"BI Developer","M","FT",100650,99084.8,121318.8,NA
2023,"BI Developer","L","FT",NA,NA,160000,NA
2023,"Big Data Architect","L","FT",NA,NA,153799,NA
2023,"Big Data Engineer","S","FT",130000,NA,NA,NA
2023,"Big Data Engineer","M","FT",NA,48585,NA,NA
2023,"Business Data Analyst","M","FT",21593,NA,NA,NA
2023,"Business Data Analyst","L","FT",NA,61000,107994,NA
2023,"Business Data Analyst","M","CT",NA,35000,NA,NA
2023,"Business Data Analyst","S","FL",NA,36000,NA,NA
2023,"Business Intelligence Analyst","M","FT",76763.25,110016,134344.404761905,NA
2023,"Business Intelligence Data Analyst","L","FT",99000,67419,NA,NA
2023,"Business Intelligence Developer","M","FT",NA,84032,113145.357142857,137000
2023,"Business Intelligence Engineer","M","FT",NA,84987,163700.921052632,209850
2023,"Business Intelligence Engineer","L","FT",NA,125660,141695.454545455,NA
2023,"Business Intelligence Manager","M","FT",NA,126750,NA,NA
2023,"Business Intelligence Specialist","M","FT",NA,88756,199550,NA
2023,"Cloud Data Engineer","L","FT",138588.5,NA,NA,NA
2023,"Cloud Database Engineer","L","FT",NA,NA,170000,NA
2023,"Cloud Database Engineer","M","FT",NA,NA,127500,NA
2023,"Compliance Data Analyst","L","FT",45000,NA,NA,NA
2023,"Computer Vision Engineer","M","FT",155000,101508,228650,NA
2023,"Computer Vision Engineer","S","FT",NA,NA,2e+05,NA
2023,"Computer Vision Software Engineer","L","FT",NA,NA,53984,NA
2023,"Consultant Data Engineer","L","CT",NA,NA,118539,NA
2023,"Data Analyst","L","FT",54883.375,63547.5,143042.857142857,NA
2023,"Data Analyst","L","PT",18160,NA,NA,NA
2023,"Data Analyst","M","FT",78815.5302013423,95540.7170418006,120973.697127937,113125
2023,"Data Analyst","S","FT",28496,NA,79620.1666666667,NA
2023,"Data Analyst Lead","S","FT",18000,NA,NA,NA
2023,"Data Analytics Lead","M","FT",NA,81711.6666666667,99960,NA
2023,"Data Analytics Manager","M","FT",NA,141438.80952381,159733.333333333,147500
2023,"Data Analytics Manager","L","FT",NA,NA,192700,NA
2023,"Data Analytics Specialist","M","FT",NA,NA,95000,NA
2023,"Data Architect","M","FT",NA,132450.222222222,163990.735955056,167500
2023,"Data Architect","L","FT",NA,NA,180950,NA
2023,"Data DevOps Engineer","L","FT",47918,95012,NA,NA
2023,"Data DevOps Engineer","S","FT",NA,NA,53984,NA
2023,"Data Developer","M","FT",NA,97778.625,115100,NA
2023,"Data Engineer","L","FT",43761,115496.5,156160.516129032,NA
2023,"Data Engineer","M","FT",93812.5762711864,125331.147058824,158362.739374499,189606.375
2023,"Data Engineer","M","CT",NA,42000,NA,NA
2023,"Data Engineer","S","FT",NA,27000,NA,NA
2023,"Data Infrastructure Engineer","M","FT",NA,180827.5,211649.375,NA
2023,"Data Integration Engineer","M","FT",NA,NA,127750,NA
2023,"Data Integration Specialist","M","FT",96605,NA,NA,NA
2023,"Data Integration Specialist","L","FT",NA,NA,36483,NA
2023,"Data Lead","M","FT",NA,122500,171625,215333.333333333
2023,"Data Management Analyst","M","FT",70500,NA,NA,NA
2023,"Data Management Specialist","M","FT",NA,NA,116523.25,NA
2023,"Data Manager","M","FT",117700,97301.7037037037,123438.5,86875
2023,"Data Manager","S","FT",NA,NA,NA,72000
2023,"Data Manager","L","FT",NA,107350,NA,NA
2023,"Data Modeler","M","FT",NA,100163.5,138110,NA
2023,"Data Modeler","L","FT",NA,NA,142500,NA
2023,"Data Operations Analyst","M","FT",NA,54870,114250,NA
2023,"Data Operations Engineer","M","FT",NA,NA,184987.5,NA
2023,"Data Operations Manager","M","FT",NA,NA,136000,NA
2023,"Data Operations Specialist","M","FT",NA,57500,53210,NA
2023,"Data Product Manager","M","FT",NA,173500,152208.333333333,NA
2023,"Data Product Owner","M","FT",NA,80115.5,NA,NA
2023,"Data Quality Analyst","M","FT",43064,75833.3333333333,96931.6666666667,NA
2023,"Data Quality Engineer","L","FT",23753,NA,NA,NA
2023,"Data Quality Engineer","M","FT",NA,NA,131500,NA
2023,"Data Quality Manager","M","FT",NA,59059,NA,NA
2023,"Data Scientist","L","FT",55249.6666666667,67371.1428571429,153842.045454545,181407
2023,"Data Scientist","M","FT",99729.1320754717,131360.56187291,173125.099793531,213006.9
2023,"Data Scientist","M","PT",95650,NA,NA,NA
2023,"Data Scientist","S","FT",107012,57656.6666666667,152836,100416
2023,"Data Scientist","S","FL",NA,21000,NA,NA
2023,"Data Specialist","M","FT",NA,88407.6923076923,95210,NA
2023,"Data Strategist","M","FT",NA,84750,108388.125,NA
2023,"Data Strategy Manager","M","FT",NA,NA,138750,NA
2023,"Data Visualization Analyst","M","FT",NA,NA,120000,NA
2023,"Data Visualization Engineer","M","FT",NA,NA,122975,NA
2023,"Data Visualization Specialist","M","FT",91050,121850,122275,NA
2023,"Decision Scientist","M","FT",NA,173350,164734.25,NA
2023,"Deep Learning Engineer","M","FT",135000,125000,272374,NA
2023,"Deep Learning Researcher","L","FT",NA,NA,124163,NA
2023,"ETL Developer","M","FT",NA,NA,122460,NA
2023,"ETL Engineer","M","FT",NA,72286,NA,NA
2023,"Finance Data Analyst","S","FT",40000,NA,NA,NA
2023,"Finance Data Analyst","M","CT",NA,NA,323905,NA
2023,"Financial Data Analyst","L","FT",56500,130000,NA,NA
2023,"Head of Business Intelligence","L","FT",NA,NA,NA,116605
2023,"Head of Data","L","FT",NA,NA,75577,290000
2023,"Head of Data","M","FT",NA,NA,242500,214884.833333333
2023,"Head of Machine Learning","M","FT",NA,NA,NA,259000
2023,"Insight Analyst","M","FT",NA,46751.9,NA,NA
2023,"Lead Data Analyst","L","FT",NA,43120.5,NA,NA
2023,"Lead Data Scientist","L","FT",NA,NA,36000,NA
2023,"Lead Machine Learning Engineer","S","FT",NA,NA,115000,NA
2023,"MLOps Engineer","M","FT",95650,124275,171333.333333333,NA
2023,"MLOps Engineer","L","FT",NA,27568,60000,NA
2023,"Machine Learning Engineer","L","FT",76000,153577,179189.647058824,NA
2023,"Machine Learning Engineer","M","FT",120487.363636364,163233.814814815,199027.661381653,190950
2023,"Machine Learning Engineer","S","CT",NA,85125,NA,NA
2023,"Machine Learning Engineer","S","FT",NA,94000,NA,NA
2023,"Machine Learning Infrastructure Engineer","M","FT",NA,188760,167952.458333333,NA
2023,"Machine Learning Manager","L","FT",NA,NA,129562,NA
2023,"Machine Learning Modeler","M","FT",NA,NA,173350,NA
2023,"Machine Learning Research Engineer","L","FT",NA,73824,NA,NA
2023,"Machine Learning Research Engineer","M","FT",NA,90000,NA,NA
2023,"Machine Learning Researcher","M","FT",NA,153275,150733.333333333,NA
2023,"Machine Learning Researcher","S","FT",NA,210000,NA,NA
2023,"Machine Learning Researcher","S","FL",NA,NA,50000,NA
2023,"Machine Learning Scientist","M","FT",NA,274166.666666667,183504.178571429,NA
2023,"Machine Learning Scientist","S","FT",NA,162500,NA,NA
2023,"Machine Learning Software Engineer","L","FT",NA,29402,NA,NA
2023,"Machine Learning Software Engineer","M","FT",NA,181300,200500,NA
2023,"Machine Learning Specialist","M","FT",NA,55000,NA,NA
2023,"Marketing Data Scientist","L","FT",NA,NA,90000,NA
2023,"NLP Engineer","M","FT",NA,32834,146283.5,175000
2023,"Power BI Developer","L","FT",NA,64781,NA,NA
2023,"Principal Data Engineer","M","FT",NA,NA,91773,NA
2023,"Principal Data Scientist","L","FT",NA,NA,147124.666666667,NA
2023,"Principal Machine Learning Engineer","L","FT",NA,NA,99145,NA
2023,"Product Data Analyst","S","CT",83200,NA,NA,NA
2023,"Product Data Analyst","L","FT",NA,16417,57000,NA
2023,"Prompt Engineer","S","FT",NA,60462,NA,NA
2023,"Prompt Engineer","M","FT",NA,NA,166500,NA
2023,"Research Analyst","L","FT",92700,NA,139800,NA
2023,"Research Analyst","M","FT",76566.8333333333,87000,117115.409090909,NA
2023,"Research Analyst","S","FT",NA,1e+05,NA,NA
2023,"Research Engineer","M","FT",133457.142857143,153570.153846154,195436.303571429,NA
2023,"Research Engineer","L","FT",NA,34549,198000,NA
2023,"Research Engineer","S","FT",NA,NA,97171,NA
2023,"Research Scientist","L","FT",171866.666666667,232685.714285714,179307.142857143,NA
2023,"Research Scientist","M","FT",161462,169726.574074074,196538.204301075,202500
2023,"Software Data Engineer","L","FT",NA,74883,210000,NA
2023,"Software Data Engineer","M","FL",NA,NA,50000,NA
2023,"Staff Data Analyst","S","FT",NA,179998,NA,NA
2024,"AI Architect","M","FT",NA,8e+05,207386.3125,NA
2024,"AI Architect","L","FT",NA,NA,289000,NA
2024,"AI Data Engineer","M","FT",88888,NA,NA,NA
2024,"AI Data Scientist","L","FT",58333,54017,NA,NA
2024,"AI Data Scientist","M","FT",45006,NA,NA,NA
2024,"AI Developer","M","FT",69194,144239.307692308,199366.970588235,276000
2024,"AI Developer","M","PT",62962.5,NA,NA,NA
2024,"AI Engineer","L","FT",84150.6666666667,120000,119666.666666667,NA
2024,"AI Engineer","M","FT",78005.3333333333,152710.598901099,179426.25297619,186106.111111111
2024,"AI Engineer","S","FT",16000,125000,140000,NA
2024,"AI Engineer","M","CT",NA,122500,NA,NA
